1458,やば
1459,おもろ
1459,やばい
1459,おもろ
1459,ほんと
1463,やばい
1472,ほんと
1473,おもろ
1473,きしょ
1473,強いっ
1473,おもろい
1478,強いっ
1478,くさ
1481,ない
1495,やばく
1518,ない
1519,ない
1521,ない
1521,ない
1521,ない
1523,懐かしい
1523,ない
1523,ない
1523,ない
1525,ない
1529,いい
1531,ない
1531,やばい
1531,ない
1531,ない
1532,ない
1533,ない
1535,ない
1537,懐かしい
1541,ない
1541,強い
1541,ない
1543,なし
1544,ちっちゃい
1545,なし
1547,ない
1547,ない
1547,小さい
1549,無い
1549,ごめんなさい
1551,ない
1551,小さい
1553,難しい
1555,おっ
1555,とぉ
1555,お疲れ様
1558,ない
1558,ない
1561,わろ
1563,ない
1564,く
1571,厳しい
1584,うまい
1599,なし
1603,速い
1605,楽し
1605,嬉しい
1605,見やす
1613,ええ
1625,強い
1626,ない
1626,すぅ
1627,ない
1627,すー
1627,ない
1627,すぅ
1629,ない
1629,すぅー
1630,強い
1631,ま
1633,ま
1633,ま
1633,うま
1633,ない
1633,すぅー
1633,ま
1633,うま
1633,うま
1633,ま
1633,うまー
1633,ま
1633,うま
1633,うま
1633,うま
1634,うま
1635,ぅ
1635,ま
1635,ま
1635,うま
1635,ない
1635,すうう
1635,うま
1635,ま
1635,うま
1635,うまく
1635,うま
1636,ま
1636,ま
1636,ま
1637,うま
1637,ま
1637,うま
1637,うま
1637,ぅ
1637,ぇぇ
1637,ま
1637,う
1637,まぁ
1637,うま
1638,うま
1638,うま
1639,うまい
1641,ま
1643,うまく
1643,うま
1643,強い
1645,うま
1645,ま
1647,上手い
1650,高く
1650,おもろい
1650,良い
1652,強く
1652,うまい
1658,うまかっ
1659,ま
1663,ない
1663,すぅ
1665,気持ちよ
1666,上手く
1669,うま
1674,ほしい～
1675,上手い
1679,うん
1679,ま
1685,ほしい
1689,良い
1689,いい
1693,うま
1697,あっ
1699,うわ
1699,w
1702,ない
1702,うま
1703,あら
1704,わろ
1708,良かっ
1709,うまい
1723,かわいい
1723,ない
1731,悪い
1732,うまかっ
1736,悪い
1741,早く
1749,少ない
1751,ふーん
1755,厳し
1757,ええ
1757,重た
1758,いいいいいいいい
1765,いい
1766,いい
1769,うまかっ
1769,ええ
1769,うまい
1780,うまい
1781,ええ
1781,美味しい
1783,美味し
1783,おいしい
1785,いい
1785,おいしい
1786,かわいい
1786,うまかっ
1786,いい
1786,おいしい
1786,いい
1789,うま
1789,高い
1789,ほんと
1789,美味しい
1790,おいしい
1792,うまい
1793,うま
1793,おいしい
1795,甘い
1795,ない
1800,美味しい
1801,美味しい
1803,ない
1805,美味し
1805,おいし
1808,あれ
1811,いい
1815,おお
1817,美味かっ
1821,お疲れ様
1823,上手い
1835,可愛い
1847,なるほど
1849,あっ
1850,かわいい
1855,あっ
1857,あっ
1862,あっ
1862,なく
1863,あっ
1865,なく
1867,なく
1869,おっ
1870,ありがとう
1870,なく
1872,いい
1872,なく
1872,おもろ
1875,くす
1877,強い
1883,いい
1891,おも
1915,強い
1939,あら
1941,あら
1941,あら
1941,あら
1943,あら
1943,あら
1943,あら
1946,あら
1947,あら
1948,あら
1948,w
1948,あら
1949,あら
1949,ねぇ
1949,w
1951,あらー
1951,あら
1955,あら
1957,ない
1961,よく
1961,よく
1963,欲しい
1967,いい
1969,よく
1969,w
1973,よく
1974,弱い
1983,まるい
1987,丸く
1989,なく
1991,うん
2014,いい
2018,よく
2021,いい
2021,ない
2021,すぅ
2021,うまい
2021,うま
2021,うま
2022,ま
2022,なるほど
2022,うま
2023,うま
2023,ま
2023,ま
2023,ま
2026,嬉し
2026,すごい
2028,うううううっ
2028,ま
2028,うまい
2029,なく
2030,う
2030,まぁ
2034,うるさく
2037,早く
2039,うるさい
2041,うるさく
2042,悪い
2045,あれ
2052,弱く
2052,ええ
2052,良い
2059,ない
2059,w
2063,こんにちわ
2071,おしい
2075,上手く
