23,./thumbnail/YaaQSOM6u4c_maxresdefault.jpg,2021-01-23 09:01:46,【 Apex 】落ちるな【 ABO.不破っち 】,YaaQSOM6u4c,2021-01-12 01:51:17,Kuzuha Channel,640211,32352,8132,6907,10006,139,98.63,83
24,./thumbnail/b2lKg-YDs4s_maxresdefault.jpg,2021-01-23 09:13:32,【 Apex 】笑いなし【 AQF 】,b2lKg-YDs4s,2021-01-14 00:50:44,Kuzuha Channel,611474,26684,5353,6193,9035,135,98.53,81
25,./thumbnail/OTtRylN9A5I_maxresdefault.jpg,2021-01-23 09:31:12,【 Apex 】最強練習会１ コーチ：すでたき先生【 #AQFWIN 】,OTtRylN9A5I,2021-01-15 15:51:30,Kuzuha Channel,481778,20457,3593,5162,9465,132,98.62,148
26,./thumbnail/op0q_vCP7o8_maxresdefault.jpg,2021-01-23 09:35:45,【 Apex 】カスタム中止 【 #AQFWIN 】,op0q_vCP7o8,2021-01-16 22:19:42,Kuzuha Channel,634127,28318,5162,6606,7891,136,98.31,63
27,./thumbnail/uJKZGaxRAzo_maxresdefault.jpg,2021-01-23 09:42:03,【 Apex 】 練習会３ 【 #AQFWIN 】,uJKZGaxRAzo,2021-01-18 15:59:05,Kuzuha Channel,455370,19275,3044,4636,8406,136,98.41,83
28,./thumbnail/4MuDn5VHxmc_maxresdefault.jpg,2021-01-23 09:47:48,【 Apex 】 練習会4 【 #AQFWIN 】,4MuDn5VHxmc,2021-01-19 19:41:51,Kuzuha Channel,448892,23074,4897,5142,6661,111,98.36,51
29,./thumbnail/kVQxYiL57nU_maxresdefault.jpg,2021-01-23 10:44:00,【 Apex 】 練習会5 【 #AQFWIN 】,kVQxYiL57nU,2021-01-20 19:40:21,Kuzuha Channel,543579,26007,4654,6404,7546,107,98.6,47
30,./thumbnail/gUB4Vy_zwi0_maxresdefault.jpg,2021-01-23 10:49:42,【 Apex 】 練習会6 【 #AQFWIN 】,gUB4Vy_zwi0,2021-01-22 01:05:24,Kuzuha Channel,687336,35521,7369,8409,9267,137,98.54,85
31,./thumbnail/ErCNWRIwiyo_maxresdefault.jpg,2021-01-23 10:58:18,【 Apex 】 練習会7 【 #AQFWIN 】,ErCNWRIwiyo,2021-01-22 17:44:14,Kuzuha Channel,467920,26822,3907,6472,6586,124,98.15,62
32,./thumbnail/fp_qil_b36Y_maxresdefault.jpg,2021-01-25 11:26:10,【 Apex 】 ダラリランク 【 など 】,fp_qil_b36Y,2021-01-23 12:18:35,Kuzuha Channel,408408,23450,3784,5567,7206,142,98.07,13
33,./thumbnail/2epuHdnAqso_maxresdefault.jpg,2021-01-25 11:31:44,【 Apex 】 練習8 【 #AQFWIN 】,2epuHdnAqso,2021-01-23 18:21:38,Kuzuha Channel,620363,33018,6150,7592,8438,207,97.61,118
34,./thumbnail/1K1t8vn6Qm4_maxresdefault.jpg,2021-01-25 11:40:40,【 Apex 】 英吸不滅 【 #AQFWIN 】,1K1t8vn6Qm4,2021-01-24 12:47:35,Kuzuha Channel,942531,33352,5470,7689,14014,395,97.26,99
35,./thumbnail/P-IywGOQwG0_maxresdefault.jpg,2021-01-25 11:48:46,【 Apex 】 高野菜 【 #AQFLOSE 】,P-IywGOQwG0,2021-01-25 01:30:17,Kuzuha Channel,1436207,66448,17925,15182,21056,530,97.54,418
36,./thumbnail/P-IywGOQwG0_maxresdefault.jpg,2021-01-25 12:18:10,【 Apex 】 高野菜 【 #AQFLOSE 】,P-IywGOQwG0,2021-01-25 01:30:17,Kuzuha Channel,1440010,63129,17166,14848,21124,531,97.55,427
37,./thumbnail/Ol3GkXSbXW0_maxresdefault.jpg,2021-02-03 07:02:07,【#Crossick三者面談】徹底検証!「Crossickはガチ」なのか？【白雪巴/健屋花那/犬山たまき】,Ol3GkXSbXW0,2021-02-01 15:12:05,犬山たまき / 佃煮のりおチャンネル,133313,7797,1294,1816,7126,47,99.34,194
38,./thumbnail/cnWV74bdjws_maxresdefault.jpg,2021-02-03 15:24:05,Nyanyanyanyanyanyanya!【にじさんじ】【文野環】#NIJINYANJI,cnWV74bdjws,2021-02-03 07:44:33,文野環【にじさんじの野良猫】ふみのたまき,344705,23005,4618,3683,18432,267,98.57,188
39,./thumbnail/7hvt9Ly-yEk_maxresdefault.jpg,2021-03-13 15:03:56,【APEX】CRカップカスタム【にじさんじ/勇気ちひろ】,7hvt9Ly-yEk,2021-03-12 21:05:22,勇気ちひろ,201915,30914,4435,0,4653,498,90.33,64
40,./thumbnail/a5fvnDt_oEQ_maxresdefault.jpg,2021-04-10 13:34:40,【#野良猫3D】いつも動かなくて不安よな。私、動きます。【文野環/にじさんじ】【3Dお披露目】,a5fvnDt_oEQ,2021-04-09 13:09:53,文野環【にじさんじの野良猫】ふみのたまき,435335,31526,5294,10124,24543,138,99.44,815
41,./thumbnail/d8NG13Gw-Ms_maxresdefault.jpg,2022-08-09 18:10:05,【 #にじさんじ甲子園 】それでは春を裁いていく【 パワプロ2022 】,d8NG13Gw-Ms,2022-08-03 18:03:08,Kuzuha Channel,1354222,116872,8534,35536,23203,0,0,323
