speed,position
2.4,0.0006666666666666666
4.8,0.002
1.4999999999999998,0.0024166666666666664
3.8999999999999995,0.0035
3.8999999999999995,0.004583333333333333
6.7,0.0064444444444444445
8.5,0.008805555555555556
3.5000000000000004,0.00977777777777778
2.0,0.010333333333333333
0.0,0.010333333333333333
2.8,0.011111111111111113
4.6,0.012388888888888889
6.4,0.014166666666666668
8.8,0.01661111111111111
12.099999999999998,0.01997222222222222
12.099999999999998,0.02333333333333333
14.5,0.02736111111111111
16.3,0.03188888888888889
18.7,0.037083333333333336
21.5,0.043055555555555555
23.9,0.049694444444444444
23.1,0.056111111111111105
25.500000000000004,0.06319444444444444
27.900000000000002,0.07094444444444445
25.400000000000002,0.078
28.200000000000003,0.08583333333333333
31.5,0.09458333333333332
34.3,0.10411111111111111
37.10000000000001,0.11441666666666667
35.60000000000001,0.12430555555555556
33.10000000000001,0.1335
33.10000000000001,0.14269444444444446
35.900000000000006,0.15266666666666667
38.300000000000004,0.16330555555555556
40.70000000000001,0.17461111111111113
44.0,0.18683333333333338
46.800000000000004,0.19983333333333336
49.20000000000001,0.21350000000000002
49.20000000000001,0.22716666666666668
51.6,0.24150000000000002
54.9,0.25675
57.3,0.27266666666666667
59.699999999999996,0.28925
62.1,0.3065
65.4,0.32466666666666666
67.2,0.3433333333333334
69.60000000000001,0.3626666666666667
72.00000000000001,0.3826666666666667
75.30000000000001,0.40358333333333335
77.70000000000002,0.4251666666666667
79.50000000000001,0.44725
81.90000000000003,0.47
84.30000000000003,0.49341666666666667
87.10000000000002,0.5176111111111111
89.90000000000003,0.5425833333333334
92.30000000000004,0.5682222222222223
94.70000000000005,0.5945277777777779
93.20000000000005,0.6204166666666667
95.60000000000004,0.6469722222222223
94.10000000000004,0.6731111111111112
92.60000000000002,0.6988333333333335
95.40000000000005,0.7253333333333335
97.80000000000004,0.7525000000000002
100.20000000000005,0.7803333333333334
102.60000000000005,0.8088333333333335
104.40000000000006,0.8378333333333334
105.0,0.8670000000000001
105.0,0.8961666666666668
105.0,0.9253333333333333
105.0,0.9545
105.0,0.9836666666666666
105.0,1.0128333333333333
105.0,1.042
105.0,1.0711666666666668
105.0,1.1003333333333334
105.0,1.1295000000000002
105.0,1.158666666666667
103.5,1.187416666666667
105.0,1.2165833333333338
101.0,1.2446388888888893
100.20000000000002,1.2724722222222227
103.50000000000001,1.3012222222222227
102.00000000000001,1.3295555555555558
104.40000000000002,1.358555555555556
105.0,1.3877222222222225
102.50000000000001,1.4161944444444448
104.90000000000002,1.4453333333333338
105.0,1.4745000000000004
105.0,1.5036666666666672
105.0,1.532833333333334
104.2,1.5617777777777784
105.0,1.590944444444445
105.0,1.6201111111111117
101.7,1.6483611111111118
104.1,1.6772777777777785
100.8,1.7052777777777786
99.3,1.7328611111111119
96.8,1.7597500000000006
98.6,1.7871388888888895
101.0,1.8151944444444452
102.8,1.8437500000000009
105.0,1.8729166666666677
104.2,1.901861111111112
102.7,1.9303888888888898
104.5,1.9594166666666677
105.0,1.9885833333333345
105.0,2.0177500000000013
105.0,2.046916666666668
105.0,2.0760833333333344
105.0,2.1052500000000007
105.0,2.1344166666666675
105.0,2.163583333333334
103.5,2.192333333333334
105.0,2.2215000000000003
105.0,2.250666666666667
105.0,2.2798333333333334
105.0,2.309
105.0,2.3381666666666665
102.50000000000001,2.3666388888888887
104.30000000000001,2.3956111111111107
101.0,2.4236666666666666
104.30000000000001,2.4526388888888886
105.0,2.4818055555555554
104.2,2.5107499999999994
104.2,2.539694444444444
105.0,2.5688611111111106
104.2,2.5978055555555546
105.0,2.6269722222222214
105.0,2.6561388888888877
105.0,2.6853055555555545
105.0,2.714472222222221
105.0,2.743638888888887
105.0,2.772805555555554
105.0,2.8019722222222203
105.0,2.8311388888888867
105.0,2.8603055555555534
101.0,2.888361111111109
104.30000000000001,2.9173333333333313
105.0,2.9464999999999977
105.0,2.9756666666666645
105.0,3.004833333333331
101.0,3.0328888888888863
103.40000000000002,3.0616111111111084
105.0,3.090777777777775
105.0,3.1199444444444415
105.0,3.1491111111111083
105.0,3.1782777777777746
101.7,3.2065277777777745
104.1,3.235444444444441
101.60000000000001,3.2636666666666634
104.00000000000001,3.292555555555552
105.0,3.3217222222222187
103.5,3.3504722222222187
100.2,3.378305555555552
102.6,3.406805555555552
98.6,3.4341944444444406
101.4,3.462361111111107
97.4,3.489416666666663
99.80000000000001,3.5171388888888853
102.20000000000002,3.5455277777777736
97.20000000000002,3.5725277777777737
99.60000000000001,3.60019444444444
102.00000000000001,3.628527777777774
100.50000000000001,3.6564444444444404
102.90000000000002,3.6850277777777736
104.70000000000002,3.7141111111111074
105.0,3.7432777777777737
105.0,3.77244444444444
105.0,3.801611111111107
103.5,3.830361111111107
105.0,3.8595277777777732
103.5,3.8882777777777733
102.0,3.9166111111111066
100.49999999999999,3.944527777777773
98.99999999999999,3.9720277777777735
100.79999999999998,4.000027777777773
99.29999999999998,4.027611111111106
97.79999999999998,4.054777777777773
101.09999999999998,4.082861111111106
104.39999999999999,4.111861111111107
102.89999999999999,4.14044444444444
101.39999999999999,4.168611111111106
103.19999999999999,4.1972777777777734
105.0,4.226444444444441
103.5,4.255194444444441
105.0,4.2843611111111075
103.5,4.313111111111108
105.0,4.342277777777775
102.50000000000001,4.3707499999999975
104.30000000000001,4.39972222222222
105.0,4.428888888888887
105.0,4.458055555555553
105.0,4.487222222222221
103.5,4.515972222222221
102.0,4.544305555555554
100.49999999999999,4.572222222222221
98.99999999999999,4.599722222222221
97.49999999999999,4.626805555555554
